en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	
put option clause		put option		put														опцион на досрочный выкуп (долгового инструмента)																	
put option		put																опцион "пут"		опцион на продажу															
quadratic mean																		среднее квадратическое																	
qualified																		отвечающий установленным критериям																	
qualified audit opinion	[audit]	qualified opinion																заключение с оговорками																	
qualified countries																		страны, соответствующие критериям																	
qualified majority voting		QMV																квалифицированное большинство голосов																	
qualifying member																		государство-член, отвечающее установленным критериям																	
quality dimension	[DQAF]																	параметр качества																	
quantification	[SNA93]																	определение количества		квантификация															
Quantitative and Qualitative Monetary Easing	[Bank of Japan]																	количественное и качественное смягчение денежно-кредитной политики																	
quantitative easing		QE																количественная адаптация		количественное смягчение															
quantitative performance criteria		QPC																количественные критерии реализации		ККР															
quantitative performance criterion		quantitative PC																количественный критерий реализации																	
quantity rationing																		количественное рационирование																	
quantity sensitivity																		чувствительность к объему																	
quantity theory of money																		количественная теория денег																	
quantum index																		индекс физического объема		индекс количества															
Quarterly External Debt Statistics database		QEDS		Quarterly External Debt Database	[IMF]													квартальная статистика внешнего долга		КСВД															
Quarterly National Accounts Manual--Concepts, Data Sources, and Compilation	[IMF]	Quarterly National Accounts Manual		QNA Manual														Руководство по квартальным национальным счетам. Концепции, источники данных и составление		Руководство по квартальным национальным счетам		Руководство по КНС													
quarter-on-quarter growth rate																		прирост по сравнению с предыдущим кварталом																	
quasibanking institution																		квазибанковское учреждение																	
quasi-corporate enterprise		quasi-corporation																квазикорпоративное предприятие		квазикорпорация															
quasi-fiscal																		квазифискальный		квазибюджетный															
quasi-fiscal operations		quasi-fiscal activities		QFAs														квазифискальные операции																	
quasi-money instrument		near cash instrument																квазиденежный инструмент																	
quasi-money		near-money																квазиденьги																	
queuing theory		queueing theory																теория массового обслуживания																	
quick asset																		ликвидные активы																	
quick disbursing short term liquidity facility																		механизм обеспечения краткосрочной ликвидности с быстрым предоставлением средств																	
quick-yielding project																		проект с быстрой отдачей																	
"quiet" facility																		«тихий» механизм		негласный механизм															
quota																		верхний предел		норма		квота													
quota and governance reform																		реформа квот и управления																	
quota and voice																		квота и число голосов																	
quota formula																		формула расчета квот																	
Quota Formula Review Group	[IMF]	QFRG																Группа по пересмотру формул расчета квот		ГПФРК															
quota formula review		QFR																пересмотр формулы расчета квот		ПФК															
quota limit	[IMF; ESAF]																	лимит, определяемый квотой																	
quota review	[IMF]	review of quotas																пересмотр квот																	
quota share	[IMF]	actual quota share		share in actual quotas		share in total quotas												фактическая доля квоты		доля в фактической сумме квот		доля квоты													
quota shift																		перераспределение квот																	
quota variables																		переменные, используемые для расчета квот																	
quota-based institution																		учреждение, финансируемое на основе квот																	
quoted price	[BPM5]																	котировка																	
rampant inflation		runaway inflation		galloping inflation	[SNA93]													галопирующая инфляция																	
random variable																		случайная переменная																	
randomness																		случайный характер																	
range																		ряд		диапазон		пределы изменения													
ranking																		упорядочение		ранжирование															
Rapid Access Line		RAL																кредитная линия быстрого доступа		РАЛ															
Rapid Credit Facility		RCF																механизм ускоренного кредитования		РКФ															
Rapid Financing Instrument		RFI																инструмент для ускоренного финансирования (РФИ)																	
ratchet effect																		инерционный эффект																	
rate of charge	[IMF; SDR use]																	ставка сборов																	
rate of crawl																		темп (периодической) корректировки																	
rate of return		ROR																норма прибыли																	
rate setting policy		pricing policy																тарифная политика																	
rate tiering		tiering																дифференциация ставок																	
rates	[GBR]																	муниципальные налоги		местные налоги															
rating shopping		credit rating shopping																поиск агентств, предлагающих наиболее высокий рейтинг																	
rating	[securities]																	рейтинг																	
rational expectations	[SNA93]																	рациональные ожидания																	
raw data		crude data																необработанные данные																	
reach for yield																		погоня за максимальной доходностью																	
real adjustment																		реальная корректировка																	
real balances effect		Pigou effect																эффект реальных денежных остатков		эффект Пигу															
real economy		real sector																реальная экономика		реальный сектор															
real effective exchange rate index		REER index																индекс реального эффективного валютного курса		индекс РЭВК															
real effective exchange rate		REER		multilateral exchange rate		multilateral real exchange rate		trade-weighted real exchange rate		trade- weighted effective exchange rate								реальный эффективный валютный курс		РЭВК															
real estate investment fund		REIF																инвестиционный фонд недвижимости		ФИН		ИФН													
real estate investment trust		REIT																инвестиционный траст недвижимости		ИТН															
Real Estate Section	[CSF/DF/RE]																	Секция недвижимого имущества																	
real estate tax																		налоги на недвижимое имущество																	
real exchange rate																		реального обменного курса																	
real flow																		реальный поток																	
real gross fixed investment																		реальные валовые инвестиции в основные фонды																	
real interest rate																		реальная процентная ставка																	
Real Sector Division	[STA/RE]																	Отдел реального сектора																	
real terms of trade																		реальные условия торговли																	
real terms		in real terms		constant terms														в реальном выражении																	
real wage																		реальная заработная плата																	
realignment of quota shares																		перебалансирование долей квот																	
realignment	[EMS]																	корректировка		восстановление равновесия															
realized price		price realized																реализованная цена																	
real-time gross settlement system		RTGS		real time gross settlement system	[FSIG]													система валовых расчетов в режиме реального времени		ВРРВ															
rebalancing of portfolio	[IMF, P45]	portfolio rebalancing																перебалансирование портфеля																	
recapitalization	[banks]																	рекапитализация		пополнение капитала															
recapture clause																		оговорка о возврате (активов)																	
receiver	[bank supervision; insolvency]																	конкурсный управляющий																	
receivership																		конкурсное производство																	
Recent Economic Developments	[IMF background paper]	RED																Доклад о последних изменениях в экономике																	
recession	[SNA93]																	экономический спад		рецессия															
recipient	[SNA93]																	получатель																	
reciprocal currency arrangement		cross-currency swap		foreign currency swap		swap arrangement		currency swap arrangement		swap		currency swap agreement						соглашение о свопе		соглашение о валютном свопе		взаимный валютный механизм		межвалютный своп											
reciprocal exchange guarantee																		взаимная гарантия валютного обмена																	
reciprocal trade agreement	[BOP]																	соглашение о взаимных преференциях в торговле																	
reciprocal trade concessions																		взаимные торговые уступки																	
reclassification	[BOP]																	переклассификация		изменение классификации		отнесение к другой категории													
recognition	[accounting]																	признание		отражение в учете															
reconciliation account																		счет согласования																	
reconciliation table																		таблица согласования																	
reconciliation		reconcilement		conciliation														сверка		выверка															
reconstitution of SDR holdings																		восстановление авуаров в СДР																	
Recording Officer	[IMF-SEC]																	ответственный за стенографические отчеты																	
record-keeping system		recording system	[BPM5]															система отражения в учете		система ведения учета															
Records Management Unit	[SEC/RC/AR/RM]																	Служба управления учетом																	
recovery	[loans]																	меры по обеспечению возврата долга		взыскание															
recreational, cultural, and religious affairs and services	[GFS; GFSY]																	вопросы и услуги в области отдыха, культуры и религии																	
Recruitment and Staffing Division	[HRD/RS]	RSD																Отдел по набору персонала и кадровой работе																	
recurrent budget																		бюджет периодических расходов		смета периодических расходов															
recurrent expenditure		recurrent expense		recurrent outlay														периодические расходы																	
recurrent revenue		recurrent receipts		recurrent income														периодические доходы		периодические поступления															
recurrent tax																		периодические налоги																	
recurrent taxes on immovable property	[GFSM; GFSY]																	периодические налоги на недвижимое имущество																	
recurrent taxes on net wealth	[GFS; GFSM; GFSY]																	периодические налоги на чистую стоимость имущества																	
recycling	[finance]																	возвращение в оборот		"рециклирование"															
redemption (of a pledge)																		погашение																	
redemption		retirement																погашение																	
redemption, right of																		право на погашение		право на выкуп															
rediscount ceiling	[central banking]	rediscount quota																лимит на переучет		квота на переучет															
rediscount facility	[central banking]																	механизм переучета																	
rediscount rate																		переучетная ставка																	
redistributional transfer payments																		перераспределительные трансфертные платежи																	
redistributive impact																		перераспределительный эффект		воздействие на перераспределение															
reduced interest par bond exchange	[debt restructuring]																	равнопаритетный обмен долга на облигации со сниженной процентной ставкой																	
reduced-form equation																		уравнение в приведенной форме																	
reference currency																		базовая валюта		валюта-эталон															
reference rate	[MPI]																	справочная ставка																	
reference zone (of rates)																		контрольный диапазон (курсов)																	
Reference, Terminology, and Documentation Section		RTD																Секция справочных материалов, терминологии и документации																	
refinancing risk																		риск рефинансирования																	
refinancing	[Debt Guide, 1993; SNA93]																	рефинансирование																	
reflation																		рефляция																	
reflow	[SNA93]																	возврат средств																	
reflows of flight capital		return of flight capital		repatriation of flight capital														обратный приток капитала		репатриация капитала															
reflows, use of Trust Fund	[IMF]																	повторное использование средств, возвращаемых в Трастовый фонд																	
refund of charges	[IMF]																	возмещение (комиссионных) сборов																	
refunding	[repayment]																	погашение																	
region of acceptance	[statistics]																	область принятия гипотезы																	
region of convergence																		регион конвергенции																	
region of rejection	[statistics]																	область непринятия гипотезы		критическая область															
Regional Advisory Group		RAG																региональная консультативная группа																	
regional balance of payments statement	[BPM5]																	региональная ведомость платежного баланса																	
Regional Division 2																		Региональный отдел 2																	
Regional Economic Outlook	[IMF]	REO																Перспективы развития региональной экономики		ПРРЭ															
regional financial arrangements																		региональные финансовые механизмы																	
regional financial institution	[GMBS]																	региональная финансовая организация																	
regional financing agreement		RFAs																региональное соглашение о финансировании		РСФ															
regional financing arrangements																		региональные соглашения о финансировании																	
Regional Office for Asia and the Pacific	[IMF]	OAP																Региональное отделение для Азии и бассейна Тихого океана		ОАТ															
Regional Office for Central Europe and the Baltics	[IMF]																	Региональное отделение для Центральной Европы и государств Балтии																	
regional outreach																		персонал по информационной работе с регионами																	
Regional Strategy Notes	[IMF]	RSN																Справка по региональной стратегии		СРС															
Regional Studies Division																		Отдел региональных исследований																	
regional surveillance																		региональный надзор																	
regional technical assistance center	[IMF]	RTAC																региональный центр по технической помощи		РТЦП															
regional training center		RTC																региональный центр подготовки кадров																	
regionalization																		регионализация																	
registered check		register check																зарегистрированный чек																	
registered instrument		registered security																именной инструмент		именная ценная бумага															
regressand	[statistics]																	зависимая переменная (в уравнении регрессии)																	
regression equation																		уравнение регрессии																	
regression of Y on X																		регрессия Y по X																	
regressive tax																		регрессивный налог																	
regressivity	[taxation]																	регрессивный характер (налогообложения)																	
regressor	[statistics]																	независимая переменная (в уравнении регрессии)																	
regular election	[IMF, Executive Directors]																	регулярные выборы																	
regular meeting	[IMF, Executive Board]																	очередное заседание																	
Regulation and Supervision Division	[MCM/FR]																	Отдел по вопросам регулирования и надзора																	
regulatory agency																		регулирующий орган		органа регулирования															
regulatory arbitrage																		регулятивный арбитраж																	
regulatory capital requirements																		требования к нормативному капиталу																	
regulatory capture																		узурпация функций регулирования		присвоение функций регулирования		"захват регулирования"													
regulatory forbearance																		отказ от применения принудительных мер																	
regulatory framework																		нормативная основа																	
regulatory power																		регулирующие полномочия																	
rehabilitation																		восстановление		реабилитация		реконструкция		оздоровление		санация									
rehabilitation program	[enterprises]																	программа оздоровления		программа реорганизации															
reintermediation																		(обратное) расширение финансового посредничества																	
reinvested earnings	[BPM5; BPM6]																	реинвестированные доходы																	
relationship-based economy																		экономика, основанная на личных взаимоотношениях																	
relative share																		относительные доли		относительной дол															
relending																		предоставление в кредит заемных средств																	
reliability	[IMF, metadata]																	надежность	[Основа оценки качества данных]																
remedial measure	[IMF overdue financial obligations]	corrective action		corrective measure		remedial action												корректирующая мера		меры по оздоровлению		коррективные меры		коррективных мер											
remit																		область ответственности																	
remittance of funds																		перевод средств		перечисление средств															
remittance recipient																		страна-получатель денежных средств																	
remitted earnings	[BPM5]																	перечисленная прибыль																	
remunerated reserve tranche position	[IMF]																	позиция по вознаграждаемому (компенсируемому) резервному траншу																	
remuneration coefficient	[IMF]																	коэффициент вознаграждения																	
remuneration	[IMF]																	вознаграждение																	
remuneration, rate of	[IMF]																	ставка вознаграждения																	
renewable		replenishable		reproducible														возобновимый		восполнимые (ресурсы)		воспроизводимый (капитал)													
rental income																		доход от сдачи в аренду		рентный доход															
rent-seeking																		извлечение ренты		стремление к получению ренты															
repayable margin																		возвратный гарантийный взнос																	
repayable transaction	[GFS 1986]																	возвратная операция																	
repayment capacity																		потенциал погашения																	
repayment period	[Paris Club; Debt Guide, 1993]																	период погашения																	
repayment schedule																		структура сроков погашения		график погашения															
repayment	[GFSM; SNA93]																	погашение																	
replacement cost risk	[securities settlement systems]																	риск издержек замещения																	
replacement rate	[pensions]																	коэффициент замещения																	
replenish the Fund's holdings of currencies	[IMF-AA]																	восполнить авуары МВФ в валютах																	
replenishment of Fund resources	[IMF]																	восполнение ресурсов МВФ																	
replenishment of reserves																		восполнение резервов																	
repo rate		repurchase rate																ставка по операциям РЕПО																	
report of the Executive Board	[IMF]																	доклад Исполнительного совета																	
Report on Implementation of Standards and Codes		RISC																Доклад о применении стандартов и кодексов		РИСК															
Report on the Observance of Standards and Codes	[IMF]	ROSC																Доклад о соблюдении стандартов и кодексов		РОСК															
reporting agency	[IMF-STA]																	учреждение, представляющее отчетность																	
reporting country																		страна, представляющая отчетность																	
reporting economy																		страна, представляющая отчетность																	
reporting period	[BPM5]																	отчетный период																	
reporting to the IMF																		предоставление данных МВФ																	
reporting unit																		единица-составитель отчетности																	
representation of balance of payments financing need	[IMF]	representation of need		declaration of BOP-related need		declaration of need												заявление о потребности в финансировании платежного баланса		представление потребности в финансировании платежного баланса															
representative rate	[IMF; exchange]																	репрезентативный курс																	
representative set of currencies	[IMF]																	репрезентативный набор валют																	
Representative to the WTO	[IMF-EUO]																	представитель МВФ в ВТО																	
repricing																		пересмотр ставок (с учетом риска)																	
repricing of risk		repricing of risks																переоценка риска																	
repricing period																		период корректировки процентных ставок																	
repurchase agreement		repo		RP		repurchase operation		repurchase transaction										соглашение о (последующем) выкупе		операция по выкупу		РЕПО													
repurchase expectation	[IMF]																	ожидаемый выкуп		ожидания в отношении выкупа															
repurchase in installments	[IMF]																	выкуп частями																	
repurchase market		repo market																рынок РЕПО																	
repurchase of accelerated set-aside amounts	[IMF debt reduction scheme]	accelerated set-aside amounts repurchase																выкуп резервированных в ускоренном порядке сумм																	
repurchase	[IMF]																	выкуп																	
reputational risk																		риск для репутации																	
request for proposal	[procurement]	RFP																предложение о внесении заявок																	
required reserve ratio		minimum reserve ratio		reserve requirement		reserve ratio		legal reserve ratio										норма обязательных резервов		минимальная норма резервов		резервные требования		установленная законом норма резервов											
requirement of need	[IMF; SDR]																	критерий наличия потребности																	
requited current transfer																		двусторонние текущие трансферты																	
requited payment	[GFS 1986]																	возмездный платеж																	
rescheduling country		rescheduler																страна в процессе переформления задолженности																	
research and development		R&D																научно-исследовательские и опытно-конструкторские разработки		НИОКР															
Research Department	[IMF]	RES																Исследовательский департамент		ИСД															
reservation price																		резервированная цена																	
reservation price (of labor)		reservation wage																резервированная цена (рабочей силы)		резервированная заработная плата															
reserve asset																		резервный актив																	
Reserve Assets Technical Expert Group		RESTEG																Группа технических экспертов по резервным активам																	
Reserve Augmentation Line	[IMF]	RAL																кредитная линия для увеличения резервов																	
reserve creation	[BPM5]																	создание резервов																	
reserve currency																		резервная валюта																	
reserve deposit																		резервный депозит																	
reserve ease		reserve cushion																ослабление резервных требований																	
reserve inadequacy		reserve deficiency		inadequacy of reserves														недостаточность резервов																	
reserve pooling arrangement																		механизм объединения резервов																	
reserve position	[country]																	резервная позиция																	
reserve requirement	[SNA93]	minimum reserve requirement		required reserves														обязательные резервы		минимальные обязательные резервы															
reserve stringency																		нехватка резервов																	
reserve target	[IMF]																	целевой показатель по резервам																	
reserve tranche position	[IMF]																	позиция по резервному траншу																	
reserve tranche purchase	[IMF]																	покупка в рамках резервного транша																	
reserve	[SNA93]																	резерв		резервы															
reserve-related official borrowing																		связанные с резервами официальные займы																	
reserve-related transaction																		связанная с резервами операция																	
residence																		резидентная принадлежность																	
residence of enterprises																		резидентная принадлежность предприятий																	
residence of individuals	[BPM5]																	резидентная принадлежность физических лиц																	
resident official sector	[BPM5]																	резидентный официальный сектор																	
Resident Representative	[IMF]	Res. Rep.																постоянный представитель МВФ																	
Resident Representative, Senior	[IMF]																	глава постоянного представительства (МВФ)																	
resident	[GFSM]																	резидент																	
residential construction																		жилищное строительство																	
residential demand																		спрос населения																	
residential investment																		инвестиции в жилую недвижимость		инвестиции в жилье															
resident-to-resident transaction	[BOP]																	операция между резидентами																	
residual																		остаток																	
residual item	[BPM5]																	остаточная статья																	
residual maturity	[BPM6; Debt Guide, 1993; BPM6 Annoted Outline; External Debt Statistics: Guide for Compilers and Users, 1993]	remaining maturity	[Debt Guide, 1993; FSIG]															остаток срока до погашения																	
residual method																		остаточный метод																	
residual, as a																		как остаток		по остаточному принципу															
resilience	[FSIG]																	устойчивость		способность к восстановлению		способность к адаптации													
resolution and recovery plan		RRP		living will														план санации и окончательного урегулирования		заблаговременное распоряжение															
Resolution Trust Corporation	[USA]	RTC																Трастовая корпорация по реализации активов																	
resource allocation		allocation of resources																распределение ресурсов		размещение ресурсов		выделение ресурсов		распределения ресурсов		распределения ресурсов		распределения ресурсов							
Resource and Information Management Section	[FAD/AI/RI]	RIMS																Секция по управлению ресурсами и информацией																	
resource curse		paradox of plenty		natural-resource curse														"проклятие природных ресурсов"		"парадокс изобилия"															
resource gap																		дефицит ресурсов																	
resource horizon																		горизонт добычи природных ресурсов																	
Resource Management Division	[MCM/RM]	RM																Отдел по управлению ресурсами																	
Resource Management Team	[CSF/MB-]																	Группа управления ресурсами																	
Resource Management Wing	[IMF-AFR]																	Группа управления ресурсами																	
resource rent taxation		RRT																налогообложение ренты от природных ресурсов																	
resource-rich countries		RRC																страны, богатые (природными) ресурсами																	
resources and expenditures	[SNA]																	ресурсы и расходы																	
resources endowments																		обеспеченность ресурсами																	
respondent	[IMF-STA; surveys]																	респондент																	
responsive																		быстро реагирующий		чувствительный															
rest of the world account	[BPM5; BPM5; SNA]	ROW Account		rest of the world sector	[BPM5, SNA 1993, GFSM 2001]													счет остального мира		сектор остального мира															
restocking																		возобновление запасов		пополнение запасов															
restricted deposit	[GMBS]																	депозит с ограниченной ликвидностью																	
restricted distribution	[IMF information security]	restricted circulation																распространение ограничено																	
restricted session	[IMF, Executive Board]																	заседание с ограниченным доступом																	
restrictive business practices																		ограничительная хозяйственная практика																	
results-based aid	[IBRD]																	помощь на основе результатов деятельности																	
resumption of exchange transactions																		возобновление валютных операций																	
retail bank																		розничный банк																	
retail financial market																		розничный финансовый рынок																	
retail price index		RPI																индекс розничных цен																	
retained earnings	[BPM6; FSIG]	undistributed earnings	[BPM5]	undistributed profits		retained gains												нераспределенная прибыль																	
retaliatory measure																		ответная мера																	
retirement age																		пенсионный возраст		возраст выхода на пенсию															
retirement of outstanding debt																		предстоящее погашение текущей задолженности																	
Retirement Reserve Account	[IMF]																	Счет резервов на выплату пенсий																	
retrenchment																		сокращение																	
retrenchment from risk																		сокращение инвестиций в рискованные активы																	
retroactive country	[HIPC, PRGF]	retroactive country cases																страны, получившие доступ (к финансированию в рамках инициативы ХИПК) в ретроактивном порядке																	
return of investment	[capital flows]																	возвращение инвестиций																	
return on equity		ROE																прибыль на акционерный капитал																	
return on investment		ROI		return on capital employed		return on capital invested												прибыль на инвестированный капитал																	
returned exports and imports	[BPM5]																	возврат экспортных и импортных товаров																	
returns to scale																		эффект масштаба		рост эффективности при увеличении масштаба															
revaluation																		переоценка стоимости																	
revaluation changes																		изменения в связи с переоценкой																	
Revenue Administration Division I, II	[FAD/R1, R2]	RAD1		RAD2														Отдел управления бюджетными доходами I, II																	
Revenue Administration Gap Analysis Program		RA-GAP																RA-GAP		диагностические инструменты налоговой администрации и основа анализа пробелов в налогообложении															
revenue and grants	[GFS 1986]																	доходы и гранты																	
revenue collection																		сбор доходов																	
revenue effort																		меры по сбору доходов (по отношению к потенциалу)																	
revenue sharing grant	[public finance]																	грант в порядке распределения доходов																	
revenue sharing		tax revenue sharing		tax sharing arrangement														распределение доходов		распределение налоговых доходов															
revenue shortfall																		недостаток доходов		дефицит доходов															
revenue stamp		tax stamp																гербовая марка																	
reversal of a loan	[IMF]																	погашение ссуды																	
reversal of direction																		смена направления																	
reverse engineering																		обратная инженерия																	
reverse equity investment		reverse investment in equity		reverse direct investment		reverse investment												обратные инвестиции в акционерный капитал		обратные инвестиции		обратное инвестирование													
reverse mortgage		reverse annuity mortgage		RAM														обратная ипотека		обратная рентная ипотека															
reverse repurchase operation		reverse operation		reverse transaction	[BPM6]	matched sale-purchase agreement	[USA]	MSP		reverse repo	[BPM6]							обратная операция		операция по обратному выкупу		сделка по обратному выкупу													
reverse stand-by arrangement																		договоренность о кредите "стэнд-бай" по инициативе МВФ																	
Review Committee on Bank-Fund Collaboration																		Комитет по оценке сотрудничества меду Всемирный банком и МВФ																	
Review Committee	[IMF]	RC																Комитет по оценке																	
review mission (Fund)																		миссия (МВФ) по обзору программы																	
review	[IMF]																	обзор		пересмотр															
reviews-based approach																		подход на основе обзоров																	
revised downward																		скорректированный в сторону понижения																	
revised upward																		скорректированный в сторону повышения																	
revocation																		отзыв		аннулирование		отмена													
revolving character of resources	[IMF]																	возобновляемость ресурсов МВФ																	
